"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"California",7.7679,7.7774,7.8901,7.5991,7.0851,7.0327,7.0112,6.7991,6.6456,6.3013,5.7848,5.7158,5.6148,5.2693,5.6189,5.5068,5.0077,4.8882,4.7975,4.7768,4.4821,4.1055,3.8838,3.7984,3.7821,3.8433,3.9775,3.6988,3.557,3.644,3.4347,3.3079,3.0609,2.9182,2.761,2.6046,2.7416,2.5357,2.1574,2.1888,2.3091,2.3879,2.3533,2.4554,2.1677,2.2935,2.2301,2.1674,2.2774,2.227,2.1563,2.1717,2.0596,1.9078,1.8355,1.7552,1.6339,1.5754,1.3807,1.3463,1.3367,1.1988,1.0977,1.0603,1.0438,1.0625,1.0568,0.9935,0.9164,0.931,0.7765,0.8129,0.8429,0.7539,0.7045,0.629,0.5439,0.5273,0.5227,0.4852,0.4628,0.4232,0.3693,0.3509,0.3286,0.329,0.324,0.3113,0.2962,0.2897,0.3237,0.3315,0.3291,0.321,0.3219,0.3635,0.4439,0.4592,0.5711,0.6532,0.7781,0.8871,1.1305,1.3804,1.6065,2.0381,2.3901,2.9253,3.7411,4.3624,5.3032,6.3668,6.9247,8.1487,9.1222,10.6169,11.1674,12.8237,12.8461,14.7505,18.495,21.0747,21.277,22.805,25.6175,29.0572,32.5412,35.3371,34.4395,26.9534,21.5244,20.9624,21.0215,21.6636,18.4931,16.0955,15.9824,21.8142,23.6964,22.171,19.9983,20.5399,20.1912,21.4292,19.9629,18.302,18.9241,20.8264,20.3192,19.5704,18.1845,18.605,20.0842,19.6989,16.3704,14.5622,16.0855,17.2597,18.9654,18.4701,17.8248,18.0795,17.2565,16.8163,16.4085,15.0229,13.6023,13.6507,14.5444,13.8682,12.1617,10.3922,9.5526,9.2211,9.0447,9.4715,10.0529,10.3412,9.8416,8.8749,7.9183,6.3692,5.4559,5.1965,4.5836,3.8098,3.5165,3.4167,3.3409,3.4759,3.3697,3.4489,3.5586,3.1689
"New York",0.4211,0.4382,0.4276,0.3728,0.3818,0.4074,0.431,0.3926,0.3616,0.3764,0.3995,0.4039,0.3894,0.3732,0.4864,0.488,0.4591,0.4582,0.4643,0.456,0.4113,0.4095,0.3886,0.4362,0.4537,0.4531,0.4669,0.4489,0.4922,0.4004,0.3288,0.2904,0.3035,0.3237,0.269,0.3148,0.3247,0.3901,0.3872,0.3604,0.3091,0.2633,0.2446,0.2581,0.2584,0.25,0.2393,0.1948,0.2237,0.203,0.2409,0.2561,0.3084,0.3795,0.4673,0.529,0.5384,0.5392,0.5827,0.6221,0.5452,0.4805,0.5142,0.5394,0.4944,0.4736,0.4775,0.5029,0.3893,0.2686,0.1956,0.1991,0.4498,0.6706,0.7329,0.7475,0.71,0.7159,0.7272,0.6687,0.5591,0.5991,0.6087,0.684,0.7297,0.7441,0.7924,0.7811,0.7518,0.7982,0.727,0.7234,0.6982,0.7011,0.6953,0.7685,0.9119,0.8533,0.9117,0.869,0.8514,0.8982,0.9514,0.9158,0.8749,0.8813,0.7659,0.7898,0.8339,0.8849,0.9444,1.056,1.1781,1.2395,1.294,1.3326,1.2881,1.5662,1.599,1.5599,1.6453,1.7691,1.945,1.9918,1.9785,1.9643,1.8963,1.8377,1.911,2.1204,1.9555,1.8907,1.8403,1.8791,2.1778,2.1199,2.0474,2.0605,2.1571,2.2106,2.1493,2.0288,2.0994,2.0438,2.1771,2.1249,2.3553,2.3586,2.1108,1.9288,1.8553,2.1603,2.2013,2.1948,1.6971,1.2324,0.9035,0.7774,0.7912,0.7136,0.6154,0.6414,0.6254,0.722,0.7176,0.7601,0.8462,0.9108,0.8573,0.8243,0.8842,0.8791,0.7742,0.7906,0.771,0.7582,0.7453,0.6998,0.6641,0.6428,0.6278,0.7149,0.749,0.723,0.8313,0.8477,0.9351,1.1589,1.1934,1.19,1.2419,1.3363,1.3907,1.3111
"Pennsylvania",2.3204,2.3473,2.4731,2.6157,2.5635,2.4012,2.0613,1.6261,1.163,1.6482,2.1373,2.5643,2.3858,2.299,2.0393,1.2553,0.7153,0.4876,0.54,0.6607,0.6522,0.682,0.6541,0.7427,0.7132,0.8467,0.7778,0.6259,0.7098,0.8007,0.7764,0.8608,0.7635,0.7073,0.6214,0.7012,0.6005,0.7043,0.7755,0.8232,0.8144,0.7895,0.7498,0.8117,0.7766,0.9059,0.8102,0.8022,0.7997,0.7896,0.8335,0.9478,0.9769,0.9438,0.8638,1.002,0.8098,0.8673,0.6948,0.7496,0.8604,0.9927,1.1313,1.047,0.9282,0.8219,0.7964,0.8978,0.9455,0.9718,0.8725,0.8303,1.2118,1.8677,2.1855,2.0298,1.8023,1.9347,2.0254,2.0855,2.1868,2.5757,2.6151,2.7257,2.5502,2.4092,2.3461,2.0675,1.7498,1.8942,1.8688,2.0403,1.9658,2.0257,1.8258,1.8156,1.835,1.9655,2.1526,1.975,1.8367,2.2948,2.2565,2.3531,2.3376,2.3668,2.348,2.2401,2.1643,2.0186,2.0168,1.9278,1.8398,1.8968,2.0259,2.2297,2.3216,2.3169,2.5199,2.57,2.6306,2.9784,3.2025,2.8767,2.9286,2.7616,2.6531,2.5682,2.3983,2.5066,2.4485,2.8075,2.8758,3.1788,3.6702,3.3403,2.847,2.7179,2.7172,2.9658,2.846,2.6689,2.6997,2.8153,2.6782,2.6849,3.9457,4.0468,3.6602,3.3351,3.8131,3.9699,4.0122,4.0601,4.0802,3.5992,2.946,2.5091,2.727,3.0634,2.9938,3.0977,3.4973,3.4109,3.007,2.9388,2.8154,2.816,2.6324,3.2492,3.342,3.0863,2.8714,2.8832,3.1127,3.1403,2.972,3.3614,3.477,3.0061,3.275,3.2631,3.7812,3.6588,3.5619,3.1906,2.9927,3.2892,3.5494,3.426,3.0675,3.1269,3.4201,3.5353
"Ohio",0.769,0.9249,1.0266,1.0351,0.8695,0.8955,0.8726,0.8619,0.8244,0.9027,0.9095,0.9446,0.9196,0.9569,1.0697,1.1458,1.1034,1.1276,1.1444,1.2082,1.1404,1.1176,1.121,1.1801,1.2708,1.2672,1.3473,1.2612,1.3577,1.4478,1.494,1.8013,1.8699,1.8431,1.689,1.5649,1.6517,1.7467,1.6266,1.6666,1.7857,1.9204,1.9061,2.0868,2.0383,2.1588,2.1666,2.007,2.1143,1.9802,2.1103,2.0456,2.2721,2.1921,2.2041,2.3766,2.5079,2.7318,2.6871,2.5956,2.7552,2.7376,3.026,3.3889,3.6704,3.6662,3.712,3.5965,3.432,3.6065,3.3406,3.5767,4.0209,4.2193,4.7442,4.9086,5.0571,5.1159,5.2162,5.0063,5.1484,5.2613,5.3232,5.1276,5.0096,4.8976,4.9888,5.3562,5.3672,5.5826,5.723,5.9674,6.0715,6.2476,6.372,6.199,6.1641,5.9206,6.1788,6.174,6.1164,6.3445,6.0256,6.537,6.8971,7.1087,7.1662,7.5906,8.0185,7.705,8.2472,8.0353,8.0356,8.098,7.7632,7.7763,7.5495,8.3288,8.9275,8.8351,8.7984,8.1822,7.9688,8.4454,9.2642,9.5968,9.1399,8.3544,8.3745,8.666,9.318,10.6677,10.4147,8.878,7.8907,7.0408,6.4346,6.2346,5.8389,6.0294,6.1456,7.2685,7.6639,9.7278,8.7833,8.4593,8.3778,8.4451,8.2559,8.1256,7.8191,7.2293,7.1788,7.3041,7.1559,7.2789,7.1481,6.5805,6.7925,6.7388,6.3107,5.9469,5.5203,6.7633,7.4338,6.8791,5.9902,6.1768,6.3745,6.143,6.1963,6.1862,6.3709,6.3648,6.1489,7.5213,7.6536,8.228,7.6784,7.7971,7.1299,6.556,6.3833,6.6198,6.7489,6.1038,6.0883,6.4322,6.5189,7.0751,6.8212,6.9157,6.9486,6.978
"North Carolina",0.3077,0.3274,0.378,0.3575,0.389,0.407,0.4611,0.4322,0.4072,0.3796,0.3585,0.2752,0.215,0.2216,0.2356,0.2282,0.2221,0.302,0.2981,0.385,0.4368,0.4599,0.3945,0.5019,0.5884,0.6498,0.5714,0.5487,0.5693,0.6337,0.6916,0.7209,0.7367,0.685,0.6438,0.6341,0.6765,0.638,0.6838,0.6527,0.5746,0.5618,0.4706,0.5206,0.4868,0.5485,0.5582,0.5951,0.6279,0.5937,0.6634,0.7473,0.8427,0.8505,0.8266,0.9014,0.9765,1.0619,0.9581,0.9612,1.0809,1.0596,1.0056,1.0581,1.1611,1.5127,1.6235,1.5653,1.5219,1.5914,1.5257,1.6283,2.1739,2.3668,2.6108,2.4332,2.53,2.7273,2.5797,2.6223,2.4836,2.5014,2.386,2.4508,2.6568,2.6196,2.6211,2.5169,2.5514,2.7764,2.771,2.661,2.5359,2.5785,2.6338,2.6561,2.7732,2.7636,2.9817,2.7974,3.0354,3.005,2.8713,2.7794,2.7094,2.6929,2.6355,2.501,2.8684,2.7978,2.8716,2.9303,2.9699,2.9904,2.9015,2.8528,2.7517,3.1843,3.1356,2.9271,3.0988,3.2365,3.3779,3.4577,3.7278,3.5732,3.6517,3.5386,3.5316,3.7153,3.6458,3.6237,3.4296,3.2751,3.0256,2.7843,2.5808,3.2689,4.1509,4.3721,4.3145,4.3091,4.2861,4.8467,4.9031,5.378,6.172,6.2788,6.0195,6.2801,6.1795,6.6728,6.7255,6.6523,5.9579,5.3139,4.5696,4.136,3.9871,3.6737,3.6416,3.8685,3.8642,4.2724,4.488,4.837,4.9476,5.5648,5.9407,6.0944,6.4648,6.5895,6.5202,6.0912,5.8494,5.7485,5.6934,5.917,5.758,5.468,5.4869,5.4116,5.6209,6.2556,6.704,5.7913,5.638,5.478,6.1141,6.8128,6.1889,5.7151,5.7009,5.5504
"New Jersey",0.1641,0.3153,0.4197,0.4057,0.4337,0.5063,0.5144,0.5286,0.4908,0.5469,0.5297,0.4722,0.4679,0.5638,0.6126,0.6346,0.6025,0.6901,0.6471,0.6243,0.6284,0.7317,0.7537,0.7607,0.672,0.6077,0.7084,0.7467,0.809,0.8457,0.7606,0.7445,0.7319,0.8608,0.7799,0.7815,0.7432,0.6935,0.694,0.6398,0.635,0.5557,0.4792,0.5098,0.522,0.5605,0.5563,0.5677,0.5908,0.4804,0.3986,0.5001,0.5471,0.5306,0.479,0.4969,0.5183,0.5815,0.5174,0.4673,0.451,0.3963,0.4767,0.5261,0.4887,0.4628,0.3626,0.3729,0.4176,0.4338,0.4125,0.4275,0.7262,0.9953,1.1384,1.051,0.9432,0.9825,1.0532,1.0248,0.8848,0.8133,0.7043,0.6456,0.6496,0.5425,0.6041,0.5785,0.6059,0.636,0.6834,0.777,0.739,0.7003,0.6163,0.6215,0.6551,0.698,0.7749,0.7536,0.7736,0.8011,0.6997,0.7305,0.7365,0.7178,0.75,0.787,0.8307,0.6633,0.5716,0.5727,0.6104,0.5126,0.4501,0.444,0.3918,0.4238,0.4482,0.4345,0.4801,0.5762,0.5803,0.6738,0.6554,0.8741,1.1282,1.327,1.2607,1.228,1.0964,1.0661,0.9168,0.943,0.9234,0.8607,0.7674,0.9107,1.0543,1.0709,1.1481,1.1673,1.2165,1.3166,1.3259,1.274,1.6092,1.8541,1.7665,1.7322,1.5938,1.4127,1.5382,1.6081,1.4434,1.2279,0.9373,0.5599,0.3519,0.2767,0.3311,0.3556,0.3298,0.3401,0.4203,0.4406,0.4941,0.5494,0.5319,0.5614,0.6254,0.6643,0.7485,0.7272,0.6609,0.6522,0.6328,0.657,0.7008,0.7337,0.7261,0.7198,0.8193,0.9167,0.8638,0.9569,1.2979,1.6998,1.6745,1.618,1.3923,1.311,1.2326,1.1735
"Virginia",0.2469,0.254,0.3226,0.3421,0.3188,0.3028,0.2715,0.2702,0.236,0.2214,0.1976,0.217,0.1976,0.1984,0.2022,0.1653,0.1166,0.1336,0.1692,0.1718,0.1744,0.1897,0.2199,0.1879,0.225,0.2458,0.2487,0.1991,0.155,0.1742,0.1851,0.1992,0.1766,0.1565,0.1459,0.1128,0.1133,0.0757,0.0614,0.0781,0.0761,0.0752,0.0586,0.0576,0.0515,0.0461,0.0399,0.048,0.0783,0.0722,0.068,0.0776,0.0779,0.0718,0.064,0.0638,0.0525,0.0624,0.0433,0.0449,0.0609,0.0516,0.0646,0.0594,0.0455,0.0409,0.0229,0.016,0.0188,0.0314,0.0284,0.026,0.1255,0.1646,0.1722,0.1056,0.1071,0.1081,0.1475,0.1583,0.1613,0.1605,0.1648,0.1275,0.0963,0.1075,0.1259,0.1276,0.0985,0.0765,0.0579,0.0791,0.0706,0.0906,0.079,0.0999,0.0873,0.1058,0.1347,0.1463,0.1915,0.249,0.2806,0.3281,0.3999,0.4369,0.5835,0.7796,1.1913,1.6512,1.868,2.0523,2.3458,2.7607,2.943,3.327,3.3872,3.8754,4.4001,7.2231,5.7042,5.8237,6.5101,7.8235,8.6696,8.9774,10.3067,11.4051,11.8073,11.0557,8.4779,7.4665,6.9147,6.5657,6.643,6.0883,5.102,5.5575,6.2,6.5828,6.3437,5.797,5.2979,5.0512,5.2212,5.2183,5.7012,5.8251,5.4925,5.4164,5.0184,5.5129,5.9326,5.9245,5.0273,4.1653,3.5615,3.4233,3.3817,3.3717,3.5948,3.9354,4.278,4.2775,3.8149,3.7681,3.395,3.1817,3.0985,3.0537,3.313,3.3177,3.2885,3.0745,2.8518,2.9688,3.0628,2.8881,2.8154,2.8976,3.1505,3.1657,3.1162,3.1056,2.9646,2.7282,2.6066,3.1607,3.2606,3.1731,2.7809,2.5307,2.7221,2.6809
"Washington",1.4065,1.4142,1.4938,1.4691,1.4518,1.6367,1.585,1.5567,1.5559,1.6734,1.5898,1.6591,1.7293,1.6848,1.6679,1.6077,1.5476,1.6115,1.748,1.7682,1.8205,1.7657,1.8438,1.9642,2.1142,1.9141,1.9539,1.7303,1.7912,1.9805,2.0768,2.2043,2.1732,2.1239,2.099,2.1815,2.2834,2.1231,1.9597,1.7019,1.9727,2.3351,2.3321,2.3534,2.2991,2.5615,2.6297,2.4646,2.7485,2.7468,2.8478,2.8437,3.0111,2.9084,2.9862,3.0951,3.1174,3.1545,3.0212,2.9356,2.8101,2.6763,2.6814,2.5917,2.6462,2.7269,2.9814,3.0705,2.9091,2.7126,2.587,2.7121,2.9764,2.9562,3.052,2.8649,2.4139,2.3297,2.4431,2.4665,2.312,2.2089,2.141,2.0225,2.2051,2.0921,2.0813,1.8681,1.8374,1.6595,1.5192,1.4731,1.3431,1.2726,1.1519,1.2311,1.3117,1.1818,1.2123,1.1202,1.128,1.1939,1.239,1.1363,1.1012,1.0835,1.0955,1.1692,1.4855,1.4984,1.4946,1.4625,1.4338,1.5777,1.806,1.9751,2.0769,2.2115,2.2619,2.5774,3.2755,3.5321,3.417,3.4999,3.6528,4.2364,5.0631,5.1715,5.5942,6.2871,6.228,5.7483,5.7549,6.446,6.1437,5.7529,5.7955,6.8302,7.8491,8.2403,8.236,9.3939,8.472,8.1172,7.2405,7.0861,6.6081,6.6509,6.7022,7.4805,8.7818,10.8281,12.2501,12.2736,10.4514,9.7315,10.2371,10.5829,10.9457,10.4659,10.6539,9.9525,10.4154,10.5523,9.965,9.0091,8.5675,8.5921,7.292,5.9677,5.0228,4.7799,4.9949,5.3048,5.8193,6.309,6.4906,6.02,6.8469,10.1024,12.1055,11.6883,11.1501,11.461,10.5172,8.8964,8.7114,8.8328,8.1175,7.9784,6.9704,6.6,7.8137,7.6235
"Massachusetts",0.9228,0.8719,0.88,0.9613,0.9776,0.9079,0.9233,0.848,0.8133,0.8431,0.7626,0.7535,0.6781,0.6525,0.7363,0.7758,0.7075,0.6355,0.6654,0.6421,0.6151,0.5676,0.5472,0.5982,0.6128,0.6259,0.6245,0.5937,0.5718,0.5091,0.4742,0.5007,0.4671,0.5362,0.4368,0.3619,0.4241,0.4364,0.4191,0.4026,0.429,0.4184,0.4397,0.4269,0.3807,0.4271,0.412,0.4432,0.4166,0.4285,0.4705,0.4976,0.4822,0.4057,0.386,0.3261,0.3004,0.322,0.354,0.344,0.3406,0.3049,0.2386,0.1892,0.1361,0.1877,0.2793,0.3443,0.3244,0.3113,0.2489,0.2268,0.2127,0.29,0.3333,0.3222,0.3559,0.3628,0.3648,0.3138,0.2967,0.3528,0.3721,0.3321,0.3036,0.3357,0.3658,0.3838,0.3773,0.403,0.3598,0.3927,0.3777,0.3845,0.4025,0.4824,0.495,0.482,0.5276,0.6345,0.8001,1.0656,1.1558,1.4121,1.4923,1.6665,1.6414,1.5749,1.5675,1.7888,2.2324,2.4307,2.9808,3.4632,3.8234,4.8768,4.3308,3.9865,3.5663,3.7949,4.1493,4.5953,5.3787,6.4927,7.2804,7.1651,6.7838,6.4419,6.0541,6.315,6.392,6.2466,6.2804,6.1589,6.4367,6.2593,5.508,4.9602,4.989,4.9481,5.0882,5.7326,5.5942,5.5628,6.1189,6.5202,8.0629,9.0846,9.4362,9.4919,9.052,8.7059,7.8951,6.3211,4.9928,4.9503,4.7481,4.7936,5.2417,5.389,5.2883,5.6763,5.7189,6.1896,5.8589,5.993,6.0913,6.5257,6.4551,6.7965,7.4637,7.704,8.0562,7.0264,5.0717,3.5515,2.7539,2.1464,1.703,1.3948,1.3916,1.2917,1.2026,1.1914,1.2108,1.5072,1.5683,1.435,1.309,1.4609,1.329,1.0559,1.2108,1.2005
"Arizona",1.3165,1.326,1.338,1.3791,1.4055,1.6302,1.7367,1.8375,1.8001,1.6473,1.7134,1.692,1.7065,1.6729,1.7723,1.6873,1.7216,1.7928,1.8118,1.7848,1.6384,1.4614,1.548,1.5784,1.7822,1.675,1.614,1.6083,1.527,1.6107,1.6212,1.7936,1.7567,1.8169,1.7692,1.8055,1.9086,1.7271,1.2573,1.4828,1.9702,2.1688,2.1858,2.3023,2.1035,2.2811,2.2812,2.2019,2.6804,2.8259,2.9474,2.9146,3.1935,3.2558,3.172,3.0065,2.9911,3.0784,2.8751,2.963,3.0377,3.0737,3.0636,3.0911,3.2863,3.4507,3.5145,3.4367,3.4189,3.4851,3.2135,3.2602,3.7321,3.5241,3.4497,3.1571,2.9201,2.8772,2.9153,2.7135,2.43,2.1385,1.9743,1.877,1.8805,1.684,1.5785,1.3436,1.2053,1.0125,0.8351,0.7087,0.6209,0.5582,0.5444,0.5283,0.5847,0.5617,0.4989,0.4599,0.521,0.5466,0.5667,0.7046,0.8782,1.0273,1.306,1.6278,2.349,2.7269,3.5552,3.8591,4.1761,4.8262,5.8335,7.5592,7.8051,9.2448,9.9634,11.2318,13.5963,15.6488,15.5727,17.9291,21.141,24.6597,27.8104,29.2389,30.3624,31.5244,29.8065,28.4933,28.7271,33.1792,30.0285,25.5324,25.0639,31.3511,36.2974,33.753,30.1064,32.6041,31.4622,35.1687,34.864,34.0724,37.1453,35.6718,33.3751,33.9929,36.3018,38.0869,38.8816,35.8543,27.583,25.4256,30.074,34.7044,38.5993,38.1746,36.0652,33.3935,29.5004,27.9811,25.119,21.5527,20.0201,21.2732,21.5279,19.6983,17.8818,16.2803,16.533,16.2139,16.9646,20.0177,18.5837,17.6511,16.1915,13.978,12.1725,10.7965,10.0654,9.8326,9.8763,8.3599,8.2065,7.7657,7.3653,7.0433,6.583,6.4412,6.4975,6.0432
"Maryland",2.5393,2.621,2.8494,2.9048,2.824,3.0832,2.2026,1.9618,2.275,3.0956,3.4941,3.599,3.2339,3.0806,3.5688,3.6799,3.4487,3.7629,3.1811,3.0732,3.2062,3.7215,3.6805,3.8189,3.6443,3.6221,4.3848,4.3389,4.5272,5.2935,3.9258,3.8234,4.1121,4.5873,4.3407,3.8592,4.0045,3.5124,3.139,3.4324,4.0956,5.1194,3.9261,3.7597,3.2891,3.8063,3.7113,3.4855,3.5817,3.5026,3.7342,3.9558,3.9213,4.0635,3.0549,2.81,2.836,3.3823,3.4957,3.2059,2.8297,2.3461,2.3941,2.5147,2.4442,2.6068,2.0385,1.9897,1.9472,2.067,1.9367,1.835,2.0217,2.3335,2.6912,2.4642,2.258,2.339,2.0591,1.9388,1.8609,1.9551,1.8926,1.8285,1.8174,1.5932,1.4882,1.461,1.6649,1.7683,1.4574,1.3727,1.3105,1.2639,1.2596,1.267,1.2991,1.166,1.3378,1.3918,1.4231,1.4492,1.0741,0.865,0.7637,0.7848,0.6794,0.7828,0.9435,0.9948,1.0562,1.1721,1.2819,1.462,1.1336,1.2579,1.323,1.7218,1.8378,1.7719,1.846,1.8119,2.2052,2.578,2.6664,4.0238,3.5298,3.0014,3.1235,4.4961,4.7733,5.2475,4.8609,5.1321,5.3603,5.9376,5.7427,6.9454,5.3511,4.5711,4.6007,6.3127,6.5648,6.4659,6.4451,6.9793,9.586,10.2357,9.7451,10.2274,6.9298,5.8021,6.7222,8.2925,8.0998,8.0693,8.8266,9.2274,8.8733,7.4481,6.6395,6.832,4.4261,3.5202,3.3181,3.3944,3.0661,2.9758,3.1089,3.3319,3.2852,3.2713,3.358,3.9371,2.5354,2.2575,2.2266,2.5943,3.2267,3.4781,4.0686,4.341,4.6432,4.8957,5.1774,5.7269,3.7395,3.2275,3.687,5.0784,5.597,5.3781,5.8377,5.6254
"Wisconsin",0.5456,0.5423,0.4492,0.6403,0.7333,0.8696,0.7813,0.6843,0.6858,0.5834,0.5393,0.5034,0.4806,0.6024,0.6237,0.6251,0.5197,0.4854,0.3849,0.5556,0.5985,0.5704,0.6342,0.5634,0.6189,0.4954,0.5234,0.5603,0.6405,0.5547,0.5512,0.5798,0.6946,0.5874,0.5509,0.5199,0.3887,0.245,0.2339,0.2701,0.3557,0.3588,0.2603,0.1744,0.2361,0.3462,0.2897,0.2555,0.2375,0.1506,0.229,0.2065,0.1693,0.1669,0.1495,0.1344,0.1651,0.179,0.1583,0.1386,0.1438,0.2069,0.1936,0.2174,0.2319,0.3028,0.4056,0.4976,0.4347,0.4269,0.4495,0.4852,0.356,0.3428,0.3817,0.4055,0.3444,0.3068,0.272,0.2726,0.3081,0.313,0.3395,0.4265,0.3785,0.2473,0.2714,0.3284,0.3621,0.3478,0.3352,0.3017,0.3149,0.3152,0.4231,0.5035,0.4446,0.3923,0.3923,0.3585,0.3641,0.4007,0.3645,0.4449,0.39,0.4967,0.5133,0.4696,0.4824,0.4524,0.5486,0.5825,0.5784,0.5569,0.6069,0.5885,0.5996,0.7316,0.8145,0.7713,0.6948,0.8713,0.8867,0.9259,0.895,0.9841,1.0008,0.8828,1.1222,1.3793,1.2833,1.2084,1.2604,1.2614,1.288,1.1751,1.0087,1.137,1.108,1.0601,1.1485,1.3974,1.4419,2.4586,3.5729,4.0815,4.3112,4.1117,3.79,4.3652,4.6755,4.631,4.4896,4.6224,4.1372,3.5183,3.0823,3.171,3.8469,3.929,4.137,4.196,4.1186,4.6199,4.5041,4.6383,4.9863,5.1235,3.6423,3.4399,3.3579,3.7557,4.1427,4.359,3.8714,3.4547,3.0579,3.2641,3.0152,2.9187,3.2657,3.6211,3.5282,3.3656,3.2078,2.6872,2.5256,3.1735,3.3563,4.0534,3.8983,3.2898,2.9487,2.962
"Minnesota",0.249,0.3478,0.3248,0.2949,0.3255,0.3812,0.377,0.3168,0.291,0.3195,0.2991,0.2931,0.2935,0.2811,0.3361,0.3121,0.3234,0.3579,0.4234,0.3848,0.2909,0.2936,0.2902,0.3272,0.2808,0.1676,0.1598,0.1184,0.1285,0.1884,0.2416,0.1781,0.2051,0.1556,0.209,0.1969,0.2413,0.2434,0.1835,0.2119,0.2503,0.2738,0.2349,0.2989,0.3337,0.3035,0.3454,0.3636,0.4109,0.3952,0.3515,0.3179,0.4207,0.4368,0.3851,0.3649,0.3608,0.2765,0.2447,0.248,0.2183,0.1959,0.2063,0.2269,0.1987,0.1773,0.2141,0.227,0.273,0.2598,0.2287,0.2125,0.3997,0.5354,0.7073,1.1294,1.273,1.4564,1.4258,1.5008,1.5243,1.4361,1.3892,1.4208,1.3648,1.3075,1.3975,1.3966,1.2917,1.3655,1.3559,1.3613,1.3015,1.3499,1.2745,1.3626,1.2525,1.1865,1.235,1.2928,1.5067,1.966,2.0555,2.0315,2.094,2.3688,2.4797,2.391,2.8643,3.0593,3.0788,2.8758,3.4745,3.3271,3.357,3.8476,4.0323,4.5283,5.0616,5.4171,6.564,6.8627,6.9893,7.9003,8.2952,8.2074,10.457,13.1326,14.8008,16.2056,15.5155,15.4217,14.9788,15.7191,15.6136,15.7036,16.4562,17.9384,19.5309,18.9936,18.5455,18.3477,16.8817,16.187,16.3592,15.8964,16.3443,15.8101,15.1664,15.1527,15.7764,16.1173,16.0822,14.7895,13.182,12.7694,13.6411,13.6773,14.9403,15.5705,15.6809,15.426,14.2697,13.7468,12.4947,11.256,11.1391,11.0141,9.6774,9.0403,9.6123,9.5788,9.5497,9.4451,8.5702,8.7864,8.7008,8.4251,7.788,6.9943,7.5993,6.7251,5.791,5.5791,5.3314,4.884,4.9328,4.9172,4.5769,4.0582,3.6748,3.5544,4.0143,3.9184
