"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"California",102.5521,103.9242,104.8698,104.946,105,104.9129,105.0405,105.0057,104.6306,103.5526,102.3113,103.1777,105.6687,107.5488,107.9681,108.632,109.2038,109.2545,109.8744,110.1085,110.3548,110.7587,110.8325,111.6509,113.3821,115.4731,116.4149,117.5304,116.7977,116.3857,115.5435,115.6567,115.8787,116.053,115.8184,117.8533,120.4797,122.5665,124.4295,125.3816,125.355,125.1071,125.2451,126.1721,125.815,126.0392,127.271,129.5711,131.7688,133.2806,134.7498,135.7265,137.9693,138.8275,139.4112,139.9617,139.012,138.0928,138.4468,141.1228,142.8544,143.9812,145.9007,148.093,149.6889,149.6983,148.0804,147.6251,149.6608,151.4194,154.4626,158.7168,163.4361,166.3403,168.5479,170.0581,171.9744,173.2526,173.9559,175.7742,176.7378,176.8562,177.4965,181.5033,187.4649,192.2235,195.0715,199.5731,204.6991,206.3793,206.4201,207.9437,209.8967,210.6907,212.0693,217.9297,227.1584,235.6036,243.2602,248.0142,250.1248,252.187,253.5921,256.4197,257.9675,259.4274,261.3913,267.4636,274.7491,280.9306,288.2417,292.5536,296.0954,297.9239,299.2325,301.0459,299.0092,297.2045,297.3925,302.7679,308.9574,313.8416,315.989,315.3335,315.0726,311.7566,309.8499,308.3726,306.1943,304.3981,306.6965,313.0043,320.9852,323.5225,323.4016,324.0247,321.3606,308.9833,299.4224,295.0564,284.7494,277.1704,273.841,272.357,272.5068,273.2585,271.1156,269.2461,263.9404,250.9411,242.7434,234.4041,227.1587,215.6035,210.6325,208.5778,208.4006,213.3197,219.6548,222.7568,221.7404,222.0686,218.4983,215.6023,212.6393,204.2898,200.2772,203.4778,205.6704,211.8762,209.9099,210.9587,207.6704,206.2071,203.6507,200.9666,199.0279,192.1519,188.0919,190.4477,193.252,194.7564,196.8542,196.0863,192.1058,187.7139,182.7963,179.8574,175.3446,177.0474,175.4212,180.889,189.4624,195.669,197.1736,197.4723,196.8254,194.887,195.0195,199.0608,203.0285,199.7295,197.7583,209.033,222.1294,232.8057,240.7688,245.594,247.7814,248.0578,246.8579,247.7832,246.0331,240.4649,235.9435
"Florida",57.6266,57.9343,58.4632,58.7069,58.769,58.8393,59.0708,59.2989,58.9735,59.5256,59.7179,59.843,60.2575,61.0397,61.6015,61.9819,62.2392,62.1123,62.2974,62.774,62.9591,62.9516,62.7711,62.9637,63.1553,63.6413,64.3173,64.6508,64.8873,64.8736,65.0434,64.9405,65.0317,65.2,65.2566,65.597,65.9281,66.4406,67.3736,68.1428,68.1688,68.1424,68.1064,68.1959,68.4451,68.7334,68.8832,69.3904,70.2082,71.0763,71.9873,72.4752,72.7231,73.0484,73.159,73.4106,73.8555,74.1155,74.1254,74.4925,75.6293,76.7571,77.987,78.8387,79.4968,79.9192,80.032,80.4179,80.7904,81.4151,81.5746,82.4697,83.2587,84.5414,85.8595,87.1601,87.5586,87.8038,88.642,89.5467,89.8976,90.55,90.7947,91.6188,92.635,93.824,95.1044,96.3355,97.5948,98.657,99.4158,100.0779,100.7339,102.1392,102.6685,104.3097,106.4784,109.5127,111.7942,112.7615,114.1369,116.2589,117.7405,119.1275,121.3933,124.1758,127.147,130.8328,134.9445,138.7263,141.4892,144.5431,146.8778,149.5629,151.1162,152.9556,154.3793,155.8277,157.3404,159.2989,160.7754,161.5765,161.2893,160.7461,159.7463,159.6174,159.1434,158.8662,158.8698,158.6576,157.7771,156.2779,155.8467,155.7712,154.5084,152.2065,150.3861,147.6057,144.287,140.6846,137.9086,136.6096,133.7659,130.599,128.0681,126.0741,125.2143,124.3234,122.6146,120.7238,117.402,112.9327,109.6864,106.653,103.3555,101.7207,99.878,99.0292,99.0235,98.4801,97.3119,98.5555,96.5631,96.4254,96.1376,92.8791,90.6982,90.3642,90.9404,91.2307,91.5912,90.8169,88.6167,87.1072,86.3956,86.6794,86.9282,84.926,83.7374,82.7506,83.7554,85.489,86.378,86.6689,85.1788,83.3045,82.0678,82.1024,82.8848,80.5928,80.2264,81.5794,84.7962,87.0501,88.5577,89.0029,88.1959,88.2289,87.9148,88.5036,90.2725,90.3437,90.1192,92.0337,95.5961,98.7131,101.444,103.1891,103.4278,102.9481,103.4692,104.1862,105.7803,106.2247,107.1582
"Illinois",94.3358,96.6721,99.3001,99.7175,96.846,94.016,92.1543,91.9538,91.4882,91.4498,89.9588,90.7026,91.573,93.3075,95.1374,96.4498,96.4325,95.9387,95.2291,95.3864,94.6089,94.2461,92.9088,92.8779,94.0378,95.3238,97.6082,99.1559,99.9714,100.2277,99.5969,98.8401,98.6413,99.8031,99.5024,98.2966,98.8695,100.2023,102.6847,104.4795,105.4701,106.1062,106.1386,105.8122,104.9586,103.4169,102.242,102.4266,103.9121,106.1089,109.0658,111.7209,112.9695,112.7162,111.8451,112.213,112.4587,113.6372,111.5183,110.2235,111.95,114.356,116.9478,120.1361,121.8365,122.559,123.1385,121.8267,120.4637,120.678,119.3044,119.5724,121.1583,123.3963,125.2605,128.2758,130.7655,131.0098,131.1062,129.9299,129.3061,130.5571,130.5356,131.4103,130.184,131.8014,137.549,139.7821,139.4981,139.943,139.8949,139.9087,139.9553,141.5361,137.663,134.1646,133.7038,136.8617,140.3551,144.8927,147.596,147.8918,148.0733,146.5115,146.7656,147.0766,145.3147,144.4661,146.1474,148.8379,151.4593,155.4876,156.5338,157.7642,156.1854,157.3246,157.7302,157.2191,155.3469,154.1241,155.2318,156.4905,158.2595,158.5031,160.3482,160.8082,159.3952,158.8231,158.2217,158.8281,155.9006,155.557,156.4789,156.7166,158.5792,159.6844,160.5142,160.2669,157.2017,152.489,150.5269,150.753,146.3199,143.8693,143.0425,140.9305,141.4181,143.4771,144.1034,143.8853,142.5235,140.1307,136.4853,131.1906,124.7386,120.7003,119.9524,117.4025,118.4371,121.1113,124.4818,126.2449,125.0445,121.1258,123.1681,126.7879,123.9732,119.8048,118.5473,118.4386,121.1915,126.8047,126.2595,121.4428,117.6562,111.8278,111.4631,112.9089,110.4159,108.1238,106.2317,106.1436,109.0887,112.8381,114.0766,112.3707,108.5071,105.8387,104.4679,99.4069,98.7714,99.9342,102.9516,106.106,111.6144,113.8479,115.0873,113.4412,110.0662,108.4263,107.2398,106.205,104.5554,103.253,107.4405,113.4356,119.4313,125.1412,126.9495,125.8792,125.663,124.2967,122.4632,123.2904,124.9058
"Pennsylvania",60.9085,62.2335,63.9897,65.2414,66.1038,65.7584,64.785,65.0445,64.6686,63.622,61.675,62.0887,63.8522,65.6485,67.0674,68.4338,68.97,68.8995,68.3167,67.964,66.6447,62.9363,62.2886,63.7942,65.2869,66.3326,67.5193,69.1692,70.4617,70.9801,70.5247,69.7757,69.4193,68.7336,68.0353,67.6921,68.2843,69.2286,70.6496,72.1784,72.9204,73.4496,72.7433,71.6961,71.1088,70.6443,69.7576,69.0362,69.7714,71.3067,72.8698,74.8239,75.6892,75.9164,74.781,74.1819,73.7801,72.7961,71.1848,71.694,72.1888,73.3591,75.3674,78.3378,79.6884,80.5537,79.1925,78.2934,77.9084,78.1078,77.5696,77.6466,77.8864,79.3103,81.1441,83.147,84.6142,86.1012,85.58,85.3513,85.0152,85.1128,84.693,84.2705,84.9419,85.5301,88.0767,90.9114,92.779,93.1482,92.4998,91.8612,92.136,93.2843,93.2325,92.3473,91.6137,93.754,96.5469,100.2856,102.082,102.2579,101.4247,100.4249,101.4024,102.292,102.6355,102.1678,102.4407,103.6105,105.9149,109.8159,112.728,113.429,113.3066,111.5649,111.1807,111.7019,110.9662,110.5519,110.2247,112.3854,115.0997,118.4803,120.418,119.5442,116.937,115.8138,115.4423,114.8814,113.1506,113.15,115.1473,117.0837,119.216,121.7005,122.6488,121.4579,119.9246,119.5298,118.0986,117.767,114.7271,113.6769,114.3802,115.5569,116.6538,118.706,120.0603,118.2202,115.8089,112.994,111.6166,109.6268,106.8851,105.1325,106.3972,107.8998,110.1647,111.7097,112.9563,114.6066,112.5731,111.1996,111.5647,109.5037,106.6498,106.6259,107.8255,110.871,113.2952,114.5605,113.3726,111.6699,109.8977,108.8713,107.6744,105.7148,103.1036,102.3399,103.1654,105.458,108.9744,110.0648,109.9137,107.7448,105.9095,104.8276,103.55,100.3073,98.0565,98.2223,100.1489,103.3318,106.2534,108.6602,109.8956,108.0831,106.2841,105.7855,104.746,105.0576,103.4153,105.1735,107.6665,110.9036,114.811,117.5121,117.7606,115.3995,113.2106,111.3249,110.0066,108.5397,107.0746
"Ohio",62.8859,63.7873,64.8566,65.3808,65.868,65.9674,65.5745,66.0254,65.809,64.6545,63.8588,64.547,65.8654,66.7445,67.6875,68.1339,68.1159,67.9568,67.8117,67.9326,68.025,66.8946,66.7628,67.7928,69.0216,70.1134,71.155,71.6474,71.6844,71.3522,71.5209,71.3372,71.3315,71.3313,70.4019,70.6549,71.4252,72.7125,73.8462,74.8554,75.2504,75.0351,74.6879,74.4197,74.2149,73.3658,72.6652,73.3692,74.7476,76.3815,77.314,77.9403,78.2205,78.1608,77.9716,77.8924,78.0647,77.1579,76.6674,77.3737,78.5253,79.9157,81.1154,81.8839,82.0584,81.9622,81.6909,81.8105,81.9042,81.1803,80.0753,80.4364,81.3368,82.5579,83.8372,84.5388,84.9178,85.0853,84.7437,84.5358,84.4395,83.5729,83.0588,83.5661,84.9905,86.5425,88.0546,88.7825,89.1569,88.7947,88.4079,87.8773,87.5736,86.5864,85.5443,85.6617,87.0043,88.5972,89.8993,90.7651,91.5089,91.2444,90.6881,90.0818,89.5973,88.3332,87.7398,88.5248,89.6934,91.2049,92.8494,93.7108,94.0403,93.9081,93.6646,92.6751,92.242,90.7364,89.9842,90.4683,92.074,93.3805,94.7085,94.7875,94.5565,94.1834,92.7334,91.5334,90.717,89.5881,89.3711,90.4473,91.2766,92.6964,93.9201,94.4064,94.5086,93.2786,91.5181,90.0685,89.2262,89.0056,88.0405,87.5295,87.8102,88.6906,89.9204,90.2728,89.5852,87.9583,86.3165,83.6545,81.976,78.9579,77.2993,77.3371,78.817,80.1727,81.7357,82.9988,82.4056,83.6367,82.872,81.725,79.1737,76.6252,75.1304,76.779,79.1921,81.7614,83.3935,82.4033,81.8952,80.3697,78.2348,76.6348,75.4045,73.2668,70.7161,71.7319,74.4663,77.0162,80.2729,80.2804,80.0001,78.0426,75.9723,74.6528,72.9105,69.9533,68.6779,70.0684,72.616,75.1718,77.4744,78.8224,78.2188,76.654,74.9326,73.7373,72.7844,71.9593,71.3784,73.5246,76.7883,80.6038,84.3032,86.5622,86.0389,84.1933,82.0756,80.9532,80.5908,80.3236,78.6958
"Michigan",76.1047,77.1459,78.0894,77.9763,78.0482,79.0813,79.2495,78.756,78.3391,78.9185,78.5365,79.7385,81.7271,80.2978,83.016,85.1783,87.1455,87.9192,87.2925,87.0325,87.1646,86.8355,86.5662,86.2705,86.9705,87.6913,89.9269,91.7893,92.3513,93.0501,93.3599,93.0908,93.5534,92.7619,90.1326,88.6727,88.4659,90.5001,94.0733,95.7479,97.2709,97.767,97.9701,96.4164,96.1841,95.4078,94.7516,94.4122,95.4905,96.3654,96.7847,98.7066,101.0316,101.6886,101.3497,100.096,100.7839,102.4502,101.8285,100.9483,101.5162,103.6235,106.7999,107.7471,108.212,109.2235,109.1504,108.5722,106.9648,108.5673,106.49,105.9997,104.9456,106.6929,109.1188,110.9216,111.9742,111.2333,109.942,109.6762,108.7532,106.3437,106.6453,108.4858,109.9968,111.0066,111.9789,113.8363,114.9773,117.2223,116.547,116.6141,114.2287,114.0156,113.6493,112.4689,112.2527,112.2944,114.7329,116.5141,118.3646,118.9401,119.3489,117.3415,116.8772,116.054,115.3547,113.3729,112.8727,114.8533,116.8762,118.5386,120.1069,119.9943,119.1099,117.8783,117.3671,115.5268,111.0352,109.0414,110.1678,111.7986,112.6956,113.0284,113.3623,113.4447,112.0856,108.6988,106.6341,105.6459,105.2482,104.5347,103.479,104.0334,105.2726,106.6278,106.8153,105.58,103.5469,100.7919,98.652,96.2249,94.906,94.2252,92.5925,92.1606,93.2119,94.6946,93.1992,91.452,88.5501,84.6882,81.3114,78.9257,75.6261,73.4011,71.955,73.3028,75.3336,76.6645,77.7637,78.0341,76.617,75.8163,74.7838,72.346,69.5812,69.5107,70.6659,72.9844,75.0072,74.6517,74.4009,74.3587,73.2766,71.9853,70.6646,69.4338,67.1119,65.6603,66.2532,69.267,72.3289,74.087,74.3873,74.3008,73.1874,70.6897,70.355,70.1169,67.5677,66.9324,69.3928,73.8351,77.7398,80.6648,82.691,82.5749,81.5181,80.5999,80.5751,80.4568,79.5079,81.2546,82.0553,84.7835,88.4709,93.6469,96.2891,96.5982,96.2855,95.1797,93.6369,93.1451,91.7979
"Georgia",58.0937,58.4007,58.8672,58.9447,59.2178,59.5322,59.804,60.244,60.1125,60.7748,60.8414,61.3016,61.5719,62.0283,62.4427,63.0265,63.2427,63.518,63.637,63.9092,64.2861,64.0239,63.7672,64.022,64.638,65.4326,65.6996,66.0548,66.2273,66.4933,66.5898,66.6733,66.948,67.2771,67.2447,67.7066,68.2397,69.16,70.0361,70.7987,71.1821,71.646,71.6157,71.7332,72.1208,72.3601,72.632,72.8822,73.494,74.1268,74.9378,75.7463,76.0586,76.2502,76.4757,76.7212,77.0787,76.9919,76.6324,77.0282,77.8443,78.7883,79.5095,79.9592,80.2055,80.4313,80.557,80.1766,80.7405,80.6389,80.9627,81.5319,81.9658,82.3487,83.0014,83.5778,83.357,82.8448,83.3011,83.7616,83.9235,83.6952,83.4392,83.4554,84.0471,84.5731,85.4287,85.8216,86.4668,86.4903,86.0677,86.0076,85.8641,85.739,85.3615,85.8288,86.5113,87.5093,88.3711,88.9296,89.2542,89.505,89.499,89.2838,89.6071,89.4808,89.7954,89.8382,90.6494,91.8487,92.0564,92.5449,92.9333,93.1529,92.8325,92.6016,92.6964,92.6365,93.0849,93.6956,94.891,95.8793,96.6267,97.0884,97.2396,96.8116,96.8426,95.6917,94.6422,93.2464,93.3412,95.2134,96.6128,97.8655,98.5826,98.6877,98.0582,96.6471,95.4596,95.078,95.1355,93.7442,92.8278,93.4816,93.7965,93.9838,94.4087,93.8487,92.6531,90.2994,93.8265,89.946,86.4564,83.5242,82.0538,83.1014,82.4476,83.2228,86.0266,86.3734,85.6086,84.8345,83.7476,82.8972,82.2537,81.9332,79.7356,77.9552,78.9605,80.6484,80.1536,79.2475,77.5084,75.394,73.7524,72.1902,71.4998,72.8193,70.5368,67.2555,67.3598,68.462,69.9913,71.221,74.6654,74.2126,73.1484,70.8643,70.1154,68.1111,66.7954,68.4231,71.1087,72.8458,75.1252,76.8952,76.816,74.9174,74.7128,74.7591,75.2067,74.8656,75.0834,77.0443,79.6458,81.5421,84.7857,86.9316,87.8498,87.0905,86.0176,85.3649,84.6776,83.8036,83.1431
"North Carolina",64.3009,65.339,65.6046,66.3608,66.5299,66.4715,66.7293,66.6583,66.8695,65.3973,65.1315,65.9145,66.9349,67.7518,68.4209,68.7759,69.5829,70.3746,71.7383,72.705,73.1023,71.4671,71.415,72.5198,72.9963,73.516,74.3904,74.9218,75.4966,75.2581,75.0653,75.3349,75.5022,74.8764,74.5687,75.1305,75.9439,76.6074,77.7047,78.0895,77.9813,77.6923,77.8718,78.1499,78.2377,76.0826,75.8149,76.7312,77.7872,78.7525,79.7387,79.9784,79.8139,79.7099,79.6158,79.6649,79.4325,79.234,79.6498,81.182,82.2842,82.9748,83.5978,83.9466,83.9668,83.4029,83.053,83.1389,83.542,83.2127,83.0334,83.4878,83.9391,84.7355,85.1852,85.3997,85.6565,85.5071,85.051,84.8529,85.0973,84.7347,84.4639,84.5886,85.2423,86.4038,87.2829,87.7293,87.8248,87.4759,87.3409,87.257,87.0018,86.1439,86.106,86.613,87.6389,88.998,89.9572,90.4212,90.0434,90.0078,90.3544,90.5158,90.447,89.8783,89.9627,90.8307,92.0596,93.3643,94.4922,95.1896,95.5383,95.3444,95.7423,95.9421,95.6279,94.8026,94.4267,95.282,96.2476,97.2987,98.8061,99.3776,99.2725,98.906,98.7562,98.5227,97.9187,96.1709,95.6325,98.0982,100.0026,101.4787,102.9031,103.6636,103.4789,102.7605,101.852,101.8168,101.4774,100.7052,100.3363,100.9661,101.496,102.9339,104.3065,104.3879,103.5748,101.811,100.9764,99.796,99.4489,98.5577,97.6886,98.3536,98.8582,99.7329,100.9664,101.0043,100.3878,100.0368,99.5481,98.6781,98.0648,98.2204,97.2953,97.2879,98.2279,99.4272,99.7091,99.5387,99.4451,98.223,97.3042,96.6107,95.8537,94.9812,92.8026,93.0315,94.6934,96.2849,97.6251,97.4518,96.8771,94.5801,93.3843,92.2642,91.2919,90.6033,90.5287,92.0947,94.1004,96.4464,97.9347,98.1559,97.0143,95.1291,93.8485,94.4306,93.0151,92.2144,91.6736,94.0059,96.6118,99.2581,101.2144,102.3901,102.0599,101.3061,100.1608,99.7419,99.7419,98.4726,97.3605
"New Jersey",84.9495,86.2443,88.2469,89.3216,89.4938,88.7887,88.3738,87.0809,86.7931,85.7448,85.5215,85.9442,86.3883,87.9698,90.0221,91.4561,91.6706,91.0098,90.1142,89.6053,89.5339,90.2299,89.2276,87.8728,89.9307,91.4248,92.8775,94.264,95.2108,95.4963,96.8588,94.4276,92.8125,91.7239,92.6526,91.3316,91.1366,93.1543,95.2219,97.0429,98.7072,99.3327,99.0864,98.7796,98.4723,98.5501,97.6837,98.3994,99.6052,101.3646,103.7363,106.2246,108.6349,109.4068,108.589,109.2046,108.4501,108.2543,107.0611,106.459,107.3629,110.5683,115.9727,119.6315,121.7641,122.2123,119.2234,118.5789,120.7198,120.5365,120.4828,120.9166,123.7243,125.8966,128.9182,133.7252,135.5609,138.2338,137.628,136.8185,137.2482,138.2033,137.1502,140.5758,145.4317,147.861,149.1721,152.2513,157.0353,161.1134,161.3619,163.7068,162.8283,161.3505,159.5772,159.4209,161.1372,166.8889,172.0843,180.4378,179.4155,178.4148,176.0602,175.1567,175.7643,176.7605,175.9768,177.2078,181.7158,188.2911,195.5349,199.0449,201.7644,203.385,202.3523,202.1683,201.241,198.8671,197.5642,198.5499,202.724,205.9057,209.9251,210.3574,208.5462,207.1421,203.924,201.6048,199.1816,199.8879,201.2169,202.8871,205.5009,208.7942,211.5408,212.0246,210.7586,207.6969,203.5275,201.611,200.4315,198.949,198.8608,199.5348,200.4226,200.3392,201.6099,202.4586,202.2471,200.5824,195.7062,191.1735,188.388,183.6958,182.3666,181.6865,181.5868,182.453,185.723,187.6911,188.0278,187.2477,184.5887,183.6203,182.667,179.3772,178.7491,179.988,181.1456,181.932,184.8338,186.9223,188.9232,186.8239,180.2775,177.225,177.1926,176.1698,173.1444,169.1204,168.8481,171.4711,174.39,176.8571,176.3139,172.7113,167.8735,161.7972,159.6072,158.184,156.0015,156.3351,159.6011,162.0885,167.1996,171.4276,173.0364,171.7336,169.3136,164.9267,163.525,162.0647,161.6542,161.2175,164.0093,167.9513,173.6346,178.5923,182.9175,181.8602,176.5269,170.1935,171.5511,172.3453,169.009
"Virginia",69.3087,69.9768,71.9635,72.2284,72.6146,72.311,72.7948,72.3077,72.4463,72.9141,73.0657,73.8782,74.6668,75.4439,76.5868,77.5731,78.0846,77.9994,77.0485,76.7148,76.1298,75.424,75.0472,75.488,76.674,77.6752,79.3489,79.9781,80.5269,78.9492,77.5176,77.4198,77.7232,77.0069,76.4098,77.3795,79.0033,80.1002,80.6626,81.8198,82.4689,82.5864,82.0576,81.9529,81.9228,82.0781,82.0282,82.3624,83.4026,84.509,86.1296,87.1517,88.0951,87.8021,87.699,88.1405,88.6018,88.0704,87.5667,88.2968,89.5282,91.1816,92.4799,93.1216,93.6666,93.5598,93.2535,93.2333,93.9003,94.9486,95.4048,96.0109,97.0943,99.3983,101.7457,103.1855,104.403,105.3544,105.246,103.9808,104.2785,104.7514,104.3714,105.2674,106.9193,110.2662,113.7323,115.4165,118.0786,118.4491,116.6201,114.4927,114.8843,116.9598,117.3688,119.443,121.8929,126.8202,133.3161,137.6736,139.4832,138.4677,140.7482,143.0634,144.6702,143.9531,143.7485,145.4428,151.2143,157.7743,164.1696,166.8584,167.2707,167.5346,165.0384,163.6186,162.6228,162.1892,162.8527,164.3875,164.9531,165.5265,165.8996,165.2068,163.3475,162.193,162.4539,161.7627,163.7032,161.4167,160.6003,159.897,160.6749,161.1536,162.1084,161.4818,159.6811,156.9612,155.2444,153.0858,152.4197,147.1178,144.1241,143.4554,144.5896,146.3589,147.5742,147.6662,145.7992,143.6677,141.5941,138.2435,137.0864,134.311,131.405,131.2221,132.9494,133.5821,135.2357,137.2031,137.6524,144.0157,142.2254,141.0572,137.9744,135.2795,134.0276,135.9709,138.9118,142.3774,142.7802,144.4076,145.2154,144.7623,142.6931,141.289,141.8375,138.7245,136.7832,136.4865,137.0814,138.8373,140.003,141.0316,139.8069,136.2434,131.7916,129.8817,129.0048,128.1058,122.8743,127.7558,133.6184,138.4936,141.2285,141.2463,139.1374,139.2485,137.56,139.0367,137.2945,131.5339,132.9498,136.8544,142.5381,149.2293,157.8344,161.2857,164.1657,164.2681,164.1328,161.5562,162.2289,158.6807,159.2197
"Washington",87.8332,88.4997,88.4568,88.0961,88.6184,88.868,89.01,89.3145,89.4479,90.9455,91.8016,92.3685,92.9951,93.604,93.5501,93.6327,93.7584,93.7609,94.2209,94.5017,94.3956,94.4608,95.2999,96.3186,97.6982,98.7104,98.7237,98.8662,99.9916,100.5716,100.1004,100.2779,99.5992,99.4113,99.618,100.5735,101.5001,102.4135,103.84,104.4224,104.7914,104.8126,105.4135,105.76,105.3315,104.8082,106.5119,108.5204,109.688,110.7054,110.1287,110.1582,110.4533,111.1812,110.9671,110.8895,110.8868,109.9116,110.8533,112.2266,113.1382,113.3582,113.4836,114.2769,115.1545,114.7125,113.0606,113.2053,114.1689,113.4078,114.3915,115.2864,116.6216,117.3155,117.6974,118.323,118.5844,118.5577,118.0212,118.1172,118.8648,119.2961,120.4657,121.4503,122.6086,123.5358,124.6159,126.0588,126.519,126.9145,126.9188,127.3904,127.418,125.7038,126.7915,128.9725,131.2964,133.5789,135.7605,136.8544,137.6568,138.5217,138.9818,140.4426,141.1934,140.4353,140.572,143.4549,147.3446,150.8983,153.5702,156.3991,159.0427,160.5535,162.4777,164.9452,165.843,164.8292,166.0865,169.4281,174.1845,177.5074,181.0047,183.459,184.6026,184.8609,185.9876,186.2312,184.4879,182.8431,184.4986,187.2241,190.1361,192.4499,193.0978,192.9705,192.4101,190.209,187.0188,184.0293,181.8233,178.4797,177.9906,176.815,176.4311,175.9144,175.0898,173.091,171.7228,169.6771,166.9421,162.2698,161.0267,157.2626,154.7752,152.5307,150.6056,150.7427,151.8069,151.8051,151.3342,158.9742,157.9549,156.635,154.8455,154.0737,152.089,152.6707,153.1945,154.5621,152.8702,154.0161,152.556,149.9005,147.2535,145.0617,144.9346,141.1322,139.9632,139.977,137.0953,138.0388,141.9803,139.7377,139.1124,138.0485,134.9672,135.9879,133.6492,129.7165,130.429,127.8556,130.8105,133.8256,136.4804,137.3856,137.5179,136.9567,136.7726,138.3967,137.2206,135.1594,133.5369,136.3752,142.5362,149.019,153.2869,156.6091,159.1874,158.9021,159.6485,158.9726,155.995,152.4132,154.8728
"Massachusetts",88.3188,90.7664,93.0217,94.0187,95.0579,94.3036,93.0326,91.6555,90.4958,91.1433,90.9537,91.1765,92.5591,94.9016,97.5135,98.9161,99.6235,99.6367,98.5678,97.639,97.9674,98.003,97.0923,97.513,98.9455,101.7848,104.8962,105.8108,107.4327,106.4213,105.3117,104.9156,105.294,106.2163,105.3399,105.7616,107.655,110.3272,113.7659,116.5403,118.3996,118.5457,117.5861,117.2133,118.2584,117.8247,117.0153,118.5613,120.8439,123.9303,128.4991,130.8007,132.3638,133.4963,133.2193,134.1527,134.5468,135.6067,135.4814,137.1876,139.3598,142.5846,147.4391,152.1716,155.2378,154.6149,152.8739,150.8588,150.8885,151.1861,153.5668,156.8763,161.3402,166.1329,173.1762,176.966,181.0668,180.7976,178.6818,177.4832,179.0575,179.6324,176.6369,176.5088,179.5705,184.6418,189.6647,192.8566,197.5973,196.6422,193.6163,192.6452,195.634,195.0264,193.9369,194.8774,201.2436,207.3261,212.3274,215.3151,218.1577,217.9303,215.731,214.8741,213.5192,212.6309,209.465,212.0948,215.6041,221.4985,229.054,233.1949,233.9138,232.3271,228.71,225.8099,223.721,219.9894,216.6609,218.7946,224.4039,227.4209,230.1434,228.6155,228.1776,223.6967,219.2731,217.919,217.3983,215.546,214.4702,217.0443,218.3578,223.2799,226.0093,226.9959,225.5956,221.0894,214.5463,211.6839,210.3556,207.2104,203.8829,202.6599,202.4419,204.7548,208.3219,208.5366,207.2389,202.5362,195.5265,189.6769,184.9124,182.3441,179.3427,176.7895,177.8663,182.5838,188.9807,193.9092,195.9477,198.9135,195.2968,192.049,193.1435,192.7578,189.403,189.0727,191.8186,194.8014,199.6922,203.5565,206.1877,200.591,194.7644,196.9443,197.1142,192.0328,189.3048,187.6368,190.7782,195.8484,202.891,202.9334,201.0492,196.0729,188.7053,186.1513,185.2889,182.1376,177.9551,180.3395,185.5454,193.9134,200.989,204.4782,203.0622,197.2674,192.3996,190.5471,191.0027,186.5321,182.7425,183.1182,189.5414,198.5482,209.166,213.1956,214.0165,208.8238,204.9191,200.848,199.6285,199.581,193.8379
