"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",5.9672,6.0088,6.0677,6.1008,6.1445,6.2358,6.3457,6.3862,6.4224,6.3968,6.4233,6.4476,6.4411,6.475,6.5468,6.5959,6.6015,6.6173,6.6215,6.6394,6.676,6.6736,6.7128,6.6911,6.6829,6.6753,6.678,6.5978,6.607,6.6028,6.4554,6.4415,6.3697,6.3296,6.3158,6.2668,6.2651,6.2261,6.1361,6.1103,6.0847,6.0674,6.1554,6.2471,6.2231,6.2586,6.2368,6.2218,6.3253,6.4175,6.5118,6.6254,6.7033,6.6791,6.6733,6.5848,6.6064,6.6445,6.6971,6.7613,6.7449,6.6886,6.5929,6.5127,6.4193,6.3986,6.453,6.5189,6.6307,6.709,6.7296,6.7732,6.7827,6.817,6.9144,6.9727,6.9847,7.0455,7.0297,6.9681,6.9283,6.8308,6.826,6.7958,6.7779,6.7562,6.7523,6.7157,6.7173,6.7451,6.7001,6.7592,6.7806,6.7823,6.7706,6.7242,6.6693,6.6185,6.5535,6.4535,6.4021,6.2907,6.1428,5.9944,5.8189,5.7023,5.6102,5.5206,5.5204,5.508,5.4323,5.3616,5.2417,5.1133,5.0678,4.9621,4.8054,4.6655,4.5143,4.3869,4.3125,4.2547,4.0888,4.0438,4.0362,4.0389,4.1121,4.1933,4.3596,4.4741,4.5094,4.5637,4.6107,4.6679,4.6925,4.6837,4.6689,4.7634,4.8407,4.8695,4.8795,4.9112,4.9882,5.0821,5.1268,5.151,5.2064,5.2591,5.3234,5.323,5.2333,5.1964,5.1623,5.0987,5.0293,4.9226,4.9279,4.9249,4.9209,4.9149,4.8459,4.7878,4.7621,4.7856,4.7751,4.7528,4.7435,4.7357,4.7206,4.7362,4.6878,4.609,4.625,4.6101,4.6203,4.656,4.6484,4.715,4.7478,4.7804,4.778,4.759,4.7413,4.7525,4.7496,4.7153,4.7283,4.7096,4.6996,4.6675,4.6111,4.5348,4.51,4.445
"Cook","IL","Chicago","17","031",4.2923,4.3255,4.3684,4.4703,4.5353,4.648,4.7576,4.8344,4.8907,4.8647,4.7576,4.8323,4.8722,4.8994,4.9555,5.0087,5.1017,5.1404,5.1959,5.2995,5.3867,5.5026,5.6119,5.6082,5.6092,5.5962,5.6036,5.497,5.4681,5.4827,5.4415,5.4546,5.4282,5.3319,5.3624,5.3161,5.3346,5.3434,5.3303,5.3729,5.4202,5.3788,5.3621,5.3824,5.301,5.4224,5.3625,5.356,5.4211,5.498,5.5478,5.6103,5.6224,5.5655,5.6054,5.5998,5.6159,5.6145,5.5622,5.576,5.5798,5.6121,5.6046,5.4385,5.3874,5.4129,5.5014,5.4307,5.5925,5.5716,5.6039,5.8409,6.0379,6.0823,6.175,6.3017,6.3507,6.47,6.5511,6.7896,6.8534,6.9356,7.1034,7.1779,7.1606,7.2129,7.294,7.4466,7.548,7.655,7.6588,7.5762,7.6453,7.6292,7.7225,7.6358,7.5716,7.5519,7.566,7.5117,7.4715,7.3607,7.1979,7.1905,7.0381,6.9287,6.7388,6.5802,6.4796,6.3719,6.2309,6.1021,5.9287,5.7838,5.6984,5.5248,5.353,5.244,5.0616,4.9187,4.7545,4.6618,4.4841,4.3331,4.1535,3.9451,3.7774,3.568,3.4339,3.3281,3.2635,3.1922,3.1055,3.0085,2.9421,2.8641,2.7959,2.7135,2.6604,2.6487,2.6577,2.6604,2.7149,2.7711,2.8618,2.9177,2.9735,3.0604,3.1608,3.248,3.2824,3.2363,3.1754,3.1001,3.3469,3.2622,3.2111,3.1411,3.1331,3.0387,2.978,3.2039,3.1237,3.1923,3.2244,3.2804,3.352,3.3891,3.5817,3.5925,3.6088,3.6114,3.6516,3.6649,3.7131,3.7959,3.8776,4.0067,4.1176,4.1535,4.2331,4.2638,4.2652,4.3464,4.3864,4.4035,4.6069,4.662,4.6945,4.8704,4.875,4.9004,4.8946,4.883
"Maricopa","AZ","Phoenix","04","013",6.7926,6.838,6.9509,7.0409,7.1097,7.2366,7.3473,7.4065,7.4478,7.4812,7.5495,7.6539,7.7084,7.799,7.8846,7.9777,8.0287,8.0985,8.0895,8.1532,8.1782,8.2004,8.2442,8.2127,8.2093,8.2071,8.1818,8.0803,8.1014,8.0504,7.9417,7.9166,7.8813,7.8728,7.8539,7.8187,7.8229,7.7825,7.7371,7.7927,7.8699,7.946,8.0972,8.2253,8.252,8.3253,8.3702,8.4296,8.5159,8.5783,8.5873,8.6149,8.604,8.5151,8.5086,8.4281,8.4735,8.5237,8.5518,8.7058,8.7436,8.9086,9.1857,9.5259,9.803,9.9028,10.0748,10.2896,10.4886,10.6388,10.6832,10.7163,10.8051,10.8101,10.8818,10.8637,10.8424,11.2461,11.4763,11.6626,11.8723,12.0015,12.2879,12.5483,12.7025,12.8208,13.0241,13.1584,13.336,13.4533,13.4768,13.6038,13.6893,13.7049,13.6678,13.5854,13.4894,13.3253,13.0632,12.7129,12.4242,12.0576,11.662,11.2294,10.8309,10.5862,10.3384,10.1315,10.056,9.9466,9.7022,9.5362,9.2915,8.9958,8.8433,8.6309,8.3439,8.1047,7.9054,7.6621,7.4687,7.3368,7.0601,6.9687,6.9366,6.939,6.9913,7.0271,7.2383,7.4219,7.4528,7.5095,7.5954,7.7594,7.7805,7.7345,7.7115,7.8607,8.0267,8.0948,8.0864,8.2025,8.4045,8.5911,8.727,8.8296,8.9816,9.0331,9.006,8.9632,8.818,8.8488,8.8519,8.9698,8.7805,8.6653,8.7622,8.8395,8.8644,8.8456,8.8585,8.9881,9.0026,9.0742,9.0834,9.0895,9.1711,9.3489,9.3095,9.299,9.2285,9.1535,9.1378,9.0653,9.1442,9.1992,9.1841,9.3025,9.2763,9.1997,9.1041,8.957,8.7661,8.6347,8.491,8.3011,8.1668,7.9633,7.8503,7.6558,7.4672,7.2723,7.1627,7.0531
"San Diego","CA","San Diego","06","073",5.2535,5.3191,5.4491,5.6029,5.7302,5.9532,6.0913,6.1663,6.2543,6.2826,6.3202,6.3689,6.4164,6.4791,6.5738,6.594,6.5898,6.5821,6.5544,6.6201,6.6291,6.6239,6.6727,6.6626,6.6658,6.6718,6.6881,6.6332,6.6589,6.6274,6.5254,6.4894,6.4696,6.4696,6.4971,6.48,6.4742,6.4072,6.3113,6.2572,6.2,6.1596,6.2062,6.2371,6.1734,6.1412,6.0423,6.0077,6.0648,6.171,6.2525,6.3857,6.5147,6.5317,6.5733,6.6277,6.6819,6.7838,6.8846,7.0463,7.06,7.037,6.9749,6.9892,6.9618,7.024,7.1587,7.3291,7.5843,7.7155,7.8159,7.9295,7.9606,8.0157,8.1698,8.2977,8.3792,8.5243,8.5155,8.4723,8.4369,8.412,8.4233,8.3816,8.363,8.3172,8.3026,8.2588,8.2375,8.2013,8.124,8.1258,8.093,8.0207,7.9813,7.9082,7.8376,7.7411,7.6041,7.355,7.2221,7.0157,6.8146,6.57,6.3236,6.2042,6.0753,5.9892,5.9706,5.9742,5.8643,5.8262,5.7,5.5987,5.5665,5.5191,5.4024,5.2834,5.173,5.0527,5.0329,5.002,4.8778,4.8524,4.914,4.9595,5.0954,5.2055,5.4167,5.5556,5.5749,5.6719,5.7092,5.7667,5.7692,5.7345,5.6546,5.7282,5.7536,5.7321,5.6901,5.6714,5.7608,5.7801,5.762,5.7428,5.794,5.8152,5.8895,5.896,5.7874,5.773,5.7421,5.728,5.6147,5.5074,5.5113,5.5117,5.4852,5.4541,5.3233,5.2598,5.242,5.2417,5.2196,5.191,5.1942,5.2251,5.2464,5.2595,5.2245,5.197,5.2106,5.1813,5.2294,5.2897,5.3049,5.3933,5.4411,5.422,5.443,5.4227,5.4595,5.4763,5.5231,5.5476,5.6178,5.6228,5.6291,5.5984,5.5421,5.4652,5.4121,5.3615
"Orange","CA","Los Angeles","06","059",6.3765,6.4552,6.5784,6.717,6.8486,7.0034,7.1625,7.2197,7.2562,7.2163,7.2481,7.2415,7.2422,7.2415,7.3019,7.3169,7.2715,7.2726,7.2278,7.2385,7.2597,7.24,7.2635,7.2486,7.2166,7.2377,7.2396,7.1213,7.1425,7.1068,6.9419,6.9305,6.853,6.8505,6.8781,6.8067,6.8129,6.7122,6.6269,6.6165,6.5742,6.5275,6.5906,6.6495,6.6145,6.5834,6.5043,6.4565,6.5255,6.6146,6.677,6.7856,6.8595,6.8275,6.8254,6.7375,6.7377,6.7895,6.8151,6.8952,6.8904,6.8491,6.7694,6.6975,6.6464,6.6476,6.7431,6.8559,6.985,7.0167,6.9923,6.9995,6.9864,6.9966,7.0442,7.0757,7.0228,7.0566,6.9093,6.7207,6.5957,6.4951,6.5143,6.5071,6.4964,6.4638,6.5191,6.5088,6.5442,6.5618,6.5966,6.7237,6.7551,6.7254,6.7234,6.683,6.6226,6.5613,6.3842,6.1877,6.0256,5.8171,5.5933,5.3368,5.1481,5.0425,4.9038,4.7381,4.677,4.6327,4.5105,4.4156,4.2888,4.1477,4.0991,3.9982,3.8808,3.7716,3.6443,3.542,3.493,3.4332,3.2974,3.2866,3.3211,3.3845,3.486,3.611,3.7618,3.8583,3.9047,3.9664,4.0173,4.0595,4.0746,4.031,3.9915,3.9865,3.9926,3.9732,4.032,4.0345,4.0743,4.1177,4.1546,4.1774,4.2536,4.3376,4.4299,4.4725,4.4271,4.4018,4.378,4.3263,4.3258,4.2729,4.2792,4.2633,4.2206,4.181,4.1013,4.0244,3.9723,4.0037,3.9903,3.9591,3.9344,3.9086,3.9271,3.9485,3.9425,3.9628,3.9888,4.0031,4.0547,4.1151,4.1263,4.2329,4.3001,4.3648,4.4103,4.4164,4.4231,4.4519,4.4749,4.4769,4.5474,4.5235,4.5357,4.4832,4.42,4.3637,4.3175,4.2581
"Kings","NY","New York","36","047",2.3266,2.387,2.4999,2.4726,2.5164,2.5534,2.5495,2.5184,2.497,2.4064,2.458,2.4609,2.4454,2.4376,2.4308,2.5018,2.4697,2.4123,2.4123,2.4512,2.5135,2.6245,2.6264,2.788,2.9516,3.0489,3.1696,3.1696,3.2855,3.3565,3.3945,3.4062,3.375,3.3254,3.3049,3.1161,3.0859,3.1278,3.0713,2.9224,2.6371,2.4103,2.1942,1.98,1.7523,1.5303,1.3463,1.1623,0.8469,0.5013,0.1665,0.0516,0.0535,0.0545,0.0555,0.0555,0.0565,0.0574,0.0165,0.0156,0.0185,0.0204,0.0243,0.0243,0.1256,0.2726,0.3982,0.515,0.769,0.8343,0.9229,1.0299,1.4768,2.1251,2.7374,3.2864,3.6758,3.743,4.4858,4.9511,5.1078,5.4456,5.8535,6.35,6.4648,6.3899,6.4726,6.532,6.5817,6.9331,6.5271,6.4697,6.4736,6.4785,6.387,6.2585,6.1553,5.9791,5.7922,5.5877,5.5215,5.2957,5.4553,5.5186,5.5838,5.6325,5.7094,5.613,5.5965,5.6384,5.541,5.5965,5.7114,5.909,5.8924,5.9109,5.945,6.0161,6.0589,6.0414,6.0754,6.0501,6.0657,6.0521,5.8944,5.763,5.6744,5.6111,5.5595,5.4612,5.3083,5.2558,5.1029,4.9501,4.7914,4.5432,4.3251,4.2478,4.2076,4.0367,3.787,3.7023,3.7223,3.7412,3.791,3.796,3.9162,4.0095,4.1188,4.1765,4.5268,4.5258,4.5036,4.4196,4.3827,4.3389,4.4201,4.7071,4.7767,4.9046,4.962,4.9096,4.7626,4.7701,4.7908,4.7565,4.6388,4.5137,5.0958,4.8974,4.8194,4.6869,4.5563,4.6259,4.5911,4.5366,4.5282,4.5347,4.5169,4.5282,4.438,4.4568,4.3638,4.2745,4.2501,4.1289,3.9805,3.987,4.1026,4.111,4.1815,4.3121,4.3544,4.3234
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",5.502,5.4922,5.5393,5.5766,5.6184,5.7287,5.8102,5.8822,5.9001,5.9219,5.8604,6.0225,6.0909,6.1509,6.2085,6.2689,6.3159,6.3616,6.4154,6.4602,6.5091,6.5107,6.6717,6.6273,6.5734,6.6247,6.7034,6.6483,6.7549,6.7803,6.7475,6.7838,6.7955,6.8292,6.8965,6.8288,6.9125,6.8796,6.9245,7.0298,7.0206,7.043,7.1137,7.2348,7.2763,7.3719,7.3828,7.3664,7.4232,7.456,7.4372,7.4656,7.5151,7.5094,7.5127,7.4155,7.3898,7.4042,7.3625,7.4576,7.5299,7.5883,7.5508,7.5265,7.3887,7.3826,7.4868,7.6863,7.9235,8.0577,8.1349,8.16,8.2114,8.301,8.5671,8.7279,9.1617,9.3683,9.4682,9.5526,9.5204,9.5478,9.7629,10.0363,10.225,10.389,10.5734,10.7902,10.7694,10.9131,10.9617,11.0501,11.1796,11.1492,11.1324,11.1131,11.1157,11.1197,11.1256,10.8834,10.8383,10.7338,10.5929,10.3491,10.2421,10.2365,10.1005,9.9183,9.7534,9.5652,9.2018,8.9724,8.6583,8.3539,8.0923,7.8529,7.5028,7.1526,6.8278,6.4511,6.1631,5.9226,5.6001,5.3838,5.0893,4.8216,4.6828,4.4428,4.2968,4.1795,4.0779,4.0032,3.8978,3.8114,3.7757,3.7584,3.7545,3.786,3.8042,3.8705,4.1033,4.1814,4.3236,4.4736,4.5484,4.6549,4.9121,5.1051,5.273,5.6681,6.0281,6.2336,6.4067,6.7155,6.739,6.7453,6.7749,6.8142,6.7218,6.7373,6.761,6.677,6.6017,6.6087,6.6113,6.5484,6.594,6.5848,6.5972,6.6488,6.7329,6.6666,6.6516,6.6398,6.6211,6.655,6.6227,6.7646,6.8379,6.9097,6.9932,7.0652,7.0496,7.17,7.3128,7.3775,7.5628,7.5947,7.6528,7.6641,7.6462,7.621,7.5493,7.5264
"Dallas","TX","Dallas-Fort Worth","48","113",5.6631,5.7523,5.8909,6.089,6.1642,6.3461,6.4767,6.5669,6.5964,6.6482,6.7359,6.7803,6.862,6.8702,6.9077,6.8778,6.8905,6.8857,6.8176,6.8739,6.9092,6.8491,6.8616,6.834,6.7873,6.8003,6.7935,6.7621,6.8349,6.7621,6.6769,6.6311,6.5295,6.5739,6.5392,6.4905,6.592,6.6466,6.6567,6.706,6.7704,6.8621,7.0461,7.0778,7.1206,7.1562,7.2328,7.3432,7.3384,7.4006,7.4094,7.4094,7.4115,7.2824,7.1881,7.1641,7.1866,7.2002,7.1784,7.1553,7.0981,6.9548,6.9211,6.8863,6.8167,6.7882,6.7694,6.7676,6.7796,6.8,6.7188,6.6859,6.645,6.669,6.7116,6.8111,6.8222,6.9653,7.0143,7.0604,7.0792,7.0812,7.236,7.3294,7.4321,7.5319,7.6002,7.5976,7.617,7.6216,7.6219,7.6694,7.698,7.6818,7.7182,7.774,7.8462,7.926,7.9364,7.9364,8.0135,8.0639,8.0825,8.122,8.1563,8.2155,8.2466,8.1834,8.211,8.2214,8.1917,8.1698,8.1235,7.9941,7.9388,7.8283,7.6765,7.5608,7.437,7.3317,7.1511,7.106,6.9118,6.7898,6.604,6.4272,6.239,6.058,6.0094,5.8848,5.7266,5.6011,5.5085,5.3641,5.1993,4.9928,4.8198,4.7077,4.6216,4.5146,4.4212,4.3876,4.4747,4.4768,4.5018,4.4717,4.5046,4.5817,4.6441,4.6578,4.5837,4.5168,4.482,4.44,4.5365,4.4722,4.4493,4.4048,4.3356,4.2081,4.0996,4.014,3.9639,4.0035,3.9982,4.0062,4.043,4.0689,4.1125,4.1948,4.2252,4.2336,4.2753,4.3156,4.3596,4.3666,4.4557,4.5237,4.5751,4.593,4.5916,4.5781,4.6417,4.7364,4.8227,4.9179,5.0551,5.1982,5.2087,5.21,5.1419,5.0977,5.0455,4.9815
"Queens","NY","New York","36","081",3.0874,3.0907,3.1384,3.1148,3.1384,3.2112,3.3038,3.3909,3.4429,3.3958,3.4183,3.352,3.3706,3.4221,3.5075,3.6916,3.8285,3.9019,3.9298,3.9638,3.9118,3.8488,3.7803,3.731,3.7206,3.7672,3.6855,3.5021,3.364,3.2101,3.117,3.0584,3.025,3.105,3.1499,3.1718,3.151,3.1521,3.2315,3.0732,2.8716,2.6789,2.4477,2.152,1.9329,1.6108,1.3463,1.0609,0.7821,0.4212,0.0613,0.0203,0.0203,0.0208,0.0219,0.0219,,,,,,,0.0099,0.017,0.0909,0.3029,0.6896,0.901,1.3627,1.4169,1.5478,1.7691,2.3606,2.6745,3.0464,3.6122,3.9249,3.932,4.4781,4.678,4.8116,5.2876,5.803,6.1037,6.1108,6.3945,6.4827,6.3951,6.4997,6.67,6.1908,6.2937,6.2675,6.2417,6.0177,5.9169,5.8682,5.7104,5.7093,5.5724,5.4892,5.4629,5.5165,5.5412,5.4941,5.4667,5.4464,5.3643,5.3314,5.3298,5.2476,5.3101,5.2646,5.2997,5.2361,5.1507,5.0242,4.9053,4.8609,4.8566,4.7739,4.6692,4.6238,4.4852,4.4337,4.3056,4.2135,4.0843,4.081,4.0131,3.9337,3.8734,3.7294,3.6198,3.5437,3.4681,3.3954,3.354,3.3388,3.3152,3.2183,3.2006,3.2577,3.3148,3.3956,3.4289,3.4711,3.5333,3.5748,3.6257,3.7642,3.733,3.6716,3.6647,3.4864,3.3751,3.2876,3.2934,3.303,3.356,3.3149,3.2822,3.178,3.1646,3.1569,3.1028,3.061,3.0319,3.2174,3.1857,3.2157,3.1507,3.177,3.1695,3.1673,3.1921,3.2345,3.2361,3.2958,3.3318,3.334,3.4092,3.3539,3.3157,3.342,3.3286,3.334,3.4641,3.5861,3.7038,3.7296,3.7759,3.8097,3.8022
"Riverside","CA","Riverside","06","065",6.1632,6.212,6.3362,6.4258,6.4719,6.5919,6.733,6.8146,6.9387,7.0097,7.0879,7.1554,7.2158,7.3002,7.3551,7.4129,7.4439,7.4551,7.4471,7.4952,7.4773,7.4745,7.5423,7.5342,7.5448,7.5681,7.6324,7.5969,7.6816,7.7407,7.6325,7.6265,7.6224,7.6048,7.6446,7.6405,7.6915,7.6684,7.6267,7.6625,7.6956,7.7382,7.9046,8.0317,8.0536,8.1708,8.1667,8.2202,8.347,8.4683,8.601,8.7711,8.9148,8.9597,9.0736,9.1487,9.2435,9.4017,9.55,9.7108,9.7664,9.8228,9.7857,9.76,9.7418,9.8293,9.9733,10.0688,10.2487,10.3869,10.4639,10.6072,10.691,10.8109,11.094,11.3829,11.5059,11.7339,11.821,11.8724,11.8803,11.8069,11.8581,11.8577,11.867,11.8505,11.8776,11.8674,12.0023,12.1508,12.1923,12.4325,12.7239,12.8385,13.0133,13.1307,13.1767,13.1858,13.1923,12.9672,12.813,12.5459,12.2053,11.8105,11.3851,11.1184,10.7826,10.4675,10.2563,10.0149,9.5965,9.2706,8.8965,8.5224,8.3298,8.0958,7.8345,7.7064,7.519,7.4139,7.4949,7.5636,7.4773,7.6615,7.8877,8.0941,8.4782,8.8686,9.299,9.4544,9.5116,9.6432,9.7712,9.9392,9.9186,9.7861,9.6926,9.7908,9.8548,9.7693,9.6017,9.5317,9.5693,9.5639,9.5341,9.4773,9.447,9.4857,9.5191,9.5042,9.3282,9.2694,9.2041,9.1045,8.9102,8.6871,8.6117,8.5848,8.5472,8.4258,8.2926,8.1622,8.088,8.0608,8.0066,7.9347,7.9051,7.8437,7.8583,7.8294,7.6889,7.5819,7.4993,7.377,7.3259,7.2606,7.2021,7.258,7.2757,7.2089,7.177,7.085,6.9474,6.917,6.8272,6.7196,6.7056,6.6342,6.6076,6.5126,6.427,6.3466,6.2903,6.2003
"San Bernardino","CA","Riverside","06","071",6.6743,6.7128,6.8134,6.8589,6.8877,7.0033,7.0878,7.1209,7.2009,7.2214,7.3002,7.363,7.4485,7.5246,7.6155,7.6814,7.7237,7.7321,7.694,7.7049,7.6593,7.6075,7.5876,7.548,7.5011,7.5152,7.5128,7.4203,7.4831,7.4911,7.383,7.3961,7.3939,7.3898,7.3896,7.3571,7.3835,7.3642,7.3149,7.3384,7.3384,7.356,7.4391,7.504,7.4534,7.5242,7.5371,7.5418,7.6965,7.7644,7.8469,7.9731,8.0222,8.0071,8.0578,8.0304,8.0779,8.1245,8.1264,8.2215,8.2479,8.2941,8.297,8.2876,8.278,8.3414,8.3921,8.4826,8.6857,8.7649,8.8081,8.8858,8.8719,8.8908,9.0301,9.1238,9.178,9.2997,9.363,9.3943,9.3697,9.3419,9.46,9.5234,9.5219,9.5418,9.5625,9.5643,9.5942,9.6251,9.6044,9.6539,9.7077,9.7429,9.7157,9.7175,9.7153,9.6701,9.6169,9.5005,9.4276,9.291,9.0943,8.8838,8.6209,8.4363,8.2559,8.0042,7.887,7.7607,7.4657,7.2016,6.9208,6.6152,6.4224,6.1822,5.939,5.7475,5.5586,5.4002,5.3878,5.4007,5.3456,5.4264,5.5979,5.8199,6.1493,6.4452,6.8155,6.9908,7.0792,7.2384,7.4594,7.6545,7.7151,7.7636,7.7543,7.9233,8.0266,8.0254,7.9037,7.8756,7.9325,7.9574,7.891,7.8384,7.8396,7.8102,7.8045,7.7261,7.5425,7.4652,7.4433,7.4758,7.3524,7.1829,7.1738,7.1696,7.1029,7.0216,6.9119,6.8236,6.7493,6.7086,6.6417,6.5746,6.5245,6.4957,6.5167,6.4946,6.3669,6.2462,6.2057,6.1005,6.0489,6.038,6.0196,6.0658,6.057,5.9935,5.966,5.8941,5.8114,5.8052,5.72,5.6189,5.6302,5.5957,5.5898,5.5422,5.4716,5.4485,5.381,5.3315
"Clark","NV","Las Vegas","32","003",6.0247,6.0896,6.2269,6.3172,6.3682,6.4992,6.6241,6.6914,6.707,6.7659,6.8212,6.9208,7.0076,7.091,7.164,7.2733,7.3733,7.4455,7.4587,7.4859,7.5001,7.4566,7.4267,7.3641,7.3692,7.4394,7.4437,7.3735,7.3949,7.3842,7.3237,7.3862,7.4198,7.495,7.5818,7.627,7.7374,7.7542,7.8337,7.9977,8.1679,8.2796,8.5262,8.7749,8.8807,9.1728,9.3307,9.5218,9.7171,9.83,9.8908,10.0113,10.0978,10.158,10.2407,10.2534,10.3999,10.4871,10.5491,10.6882,10.8159,10.9681,11.1793,11.4142,11.6164,11.9268,12.264,12.5654,12.9784,13.0625,13.1818,13.2926,13.5157,13.813,14.3174,14.6743,14.9662,15.3852,15.6451,15.8798,15.9022,16.0327,16.2646,16.3986,16.5492,16.6302,16.7722,16.8866,17.0954,17.2953,17.4618,17.8737,18.2448,18.5466,18.8062,19.01,19.1381,19.2248,19.1577,18.8795,18.7299,18.5146,18.1354,17.7189,17.3003,17.0181,16.7345,16.4652,16.3043,15.9979,15.502,15.2139,14.7793,14.1715,13.8262,13.3629,12.9384,12.6481,12.452,12.1667,11.8699,11.638,11.327,11.2702,11.1973,11.1304,11.1622,11.2631,11.4783,11.6548,11.6744,11.8043,11.8772,12.1229,12.1923,12.0678,11.9584,12.1964,12.3707,12.3878,12.473,12.4823,12.5994,12.6871,12.6698,12.6438,12.6488,12.8089,12.8643,12.9132,12.7864,12.8053,12.851,12.8669,12.8707,12.7412,12.9076,12.7743,12.8909,12.9425,13.1368,13.1187,13.0718,13.1308,13.0586,13.0086,13.0096,12.9309,13.0574,13.1304,12.9065,12.7491,12.6153,12.4513,12.4008,12.3148,12.1801,12.1835,12.2017,12.1767,12.1881,12.1916,11.9779,11.6826,11.3641,11.0561,10.819,10.3733,10.2491,9.8865,9.4235,9.0523,8.6672,8.2284
"King","WA","Seattle","53","033",6.0627,6.0969,6.1992,6.2677,6.3393,6.4741,6.5978,6.6379,6.6602,6.6583,6.7186,6.7287,6.7329,6.6993,6.6988,6.6795,6.6628,6.6501,6.6485,6.6543,6.6602,6.6242,6.6028,6.5517,6.5042,6.5059,6.4891,6.4277,6.4186,6.3379,6.2253,6.2145,6.1842,6.1752,6.1606,6.1173,6.1234,6.0442,6.0474,6.0328,6.0009,6.0428,6.1087,6.1623,6.1171,6.0715,6.0227,6.043,6.1025,6.2197,6.1729,6.2313,6.2752,6.223,6.2056,6.1348,6.1719,6.2769,6.3193,6.4006,6.4454,6.4605,6.4852,6.5186,6.5906,6.6957,6.8781,7.0581,7.2751,7.3871,7.4471,7.4958,7.4553,7.4693,7.5789,7.7342,7.8554,8.0745,8.1557,8.202,8.2069,8.2112,8.3201,8.3957,8.4745,8.5373,8.6206,8.6157,8.6298,8.6228,8.6028,8.7086,8.7672,8.8113,8.8298,8.8155,8.796,8.7865,8.7437,8.6484,8.5941,8.5849,8.5244,8.4371,8.3366,8.2823,8.2129,8.1265,8.1161,8.0888,8.0519,8.0046,7.9552,7.8093,7.7356,7.618,7.4233,7.212,7.0429,6.8883,6.7677,6.6296,6.328,6.0884,5.7771,5.4625,5.1968,4.8904,4.7975,4.6946,4.5174,4.415,4.3044,4.1367,3.9905,3.8505,3.7684,3.7453,3.7644,3.7652,3.7855,3.881,4.0432,4.1329,4.189,4.2524,4.3915,4.5487,4.6719,4.7366,4.6751,4.6625,4.62,4.5765,4.5162,4.5225,4.5503,4.567,4.5393,4.481,4.4395,4.3933,4.4635,4.5348,4.5762,4.5859,4.6317,4.6588,4.6275,4.6175,4.6897,4.7096,4.7842,4.8303,4.9493,5.0853,5.1793,5.3391,5.4463,5.5955,5.6622,5.7078,5.7802,5.8586,5.9232,5.9505,6.0954,6.1534,6.2182,6.2215,6.1637,6.069,6.0316,5.9809
